scan_name,sideband_ratio,sideband_fraction_total,eom_offset_kHz,blue_detuning_MHz,cooling_total_intensity_mW_cm2,n_fock,n_ss,pe_ss,total_scattering_rate_kHz,scatter_hz_per_asymptotic_quantum,p_top,p_tail_last2,delta_phi_pol_pi,solver_used,runtime_s
blue_refine_after_eom,0.06,0.056603773584905655,5.0,62.0,4.0,6,0.05860630689033896,2.5556629339576187e-05,0.923317968312894,980.7989739796765,0.00032782904528660055,0.0012985654605017964,13.678838331550022,direct(w=auto),20.07272739999462
blue_refine_after_eom,0.06,0.056603773584905655,5.0,64.0,4.0,6,0.06166641322992938,2.4761523161574204e-05,0.8945921214450927,953.3838861342003,0.00035189195576539566,0.001398390810975419,13.678838331550022,direct(w=auto),20.02812490001088
blue_refine_after_eom,0.06,0.056603773584905655,5.0,66.0,4.0,6,0.06631088125791554,2.4023346577056327e-05,0.8679230448928991,929.5631998605821,0.000382193633849623,0.0015221782281760285,13.678838331550022,direct(w=auto),20.086973299999954
blue_refine_after_eom,0.06,0.056603773584905655,5.0,68.0,4.0,6,0.0724308454834111,2.333554949153539e-05,0.8430740947760189,908.9069970372124,0.0004193495924559071,0.0016719175054146743,13.678838331550022,direct(w=auto),20.130644000004395
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,2.5,6,0.2613675399107728,2.4909813061655734e-05,0.8999495857431162,1218.3997243153947,0.0019309149724384342,0.0073485260415649565,13.678838331550022,direct(w=auto),20.148234899999807
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,3.0,6,0.12824969187059393,2.374049694750406e-05,0.8577041642327712,983.8874230778594,0.000767773021359211,0.003039776225955906,13.678838331550022,direct(w=auto),20.194643599999836
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,3.5,6,0.07289104979410681,2.466189300239184e-05,0.8909926516192148,961.0441700744474,0.0004200471320629167,0.0016788788980537169,13.678838331550022,direct(w=auto),20.144413000001805
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,4.0,6,0.05724518260594268,2.6416262629760285e-05,0.9543750710489652,1012.3258491396823,0.00030949906662891807,0.0012211464714918362,13.678838331550022,direct(w=auto),20.217841799996677
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,4.5,6,0.06973398327487122,2.8660231611169476e-05,1.035445890418068,1113.0642975255723,0.00029372517342482176,0.0011463903547851372,13.678838331550022,direct(w=auto),20.13440479998826
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,5.0,6,0.10436304174291197,3.1207050069953535e-05,1.1274581512597108,1258.8338844946143,0.0003324034234628263,0.0013303462984692962,13.678838331550022,direct(w=auto),20.068489299999783
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,5.5,6,0.15521269840725563,3.3865705107325434e-05,1.223510879298837,1448.3064281293705,0.000401751694865449,0.0017409622720812672,13.678838331550022,direct(w=auto),19.721698099994683
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,6.0,6,0.21363266068009062,3.636791390537159e-05,1.3139114682422668,1670.8622071951827,0.0004703152178413553,0.0022188067762482027,13.678838331550022,direct(w=auto),17.181243899991387
intensity_refine_after_blue,0.06,0.056603773584905655,5.0,60.0,6.5,6,0.2667539085875228,3.8295985497712155e-05,1.3835694470683282,1886.9100882666974,0.0006337133743463533,0.0028651892281791845,13.678838331550022,direct(w=auto),17.428004300003522
eom_refine_final,0.06,0.056603773584905655,3.0,60.0,4.0,6,0.0590055372319001,2.8026792807854535e-05,1.012560813471649,1076.0539551880297,0.00030500456613471457,0.001197789345865772,13.67883432878088,direct(w=auto),17.024819400001434
eom_refine_final,0.06,0.056603773584905655,3.25,60.0,4.0,6,0.058579583034148855,2.7743069424740142e-05,1.002310365567145,1064.6788060933914,0.0003047397165247114,0.0011974333499214047,13.678834829127021,direct(w=auto),17.049192299993592
eom_refine_final,0.06,0.056603773584905655,3.5,60.0,4.0,6,0.058204239899610904,2.747801996907615e-05,0.9927345752054976,1054.08690213224,0.00030465499564802476,0.0011977900829396836,13.678835329473166,direct(w=auto),17.081388899998274
eom_refine_final,0.06,0.056603773584905655,3.75,60.0,4.0,6,0.05788252374067854,2.7233628332923165e-05,0.9839051170650219,1044.355021383977,0.00030477221709069674,0.0011989462620133925,13.678835829819308,direct(w=auto),17.011318999997457
eom_refine_final,0.06,0.056603773584905655,4.0,60.0,4.0,6,0.05761817861160028,2.7012178308693197e-05,0.9759045007185532,1035.5722898822103,0.0003051173122681259,0.0012010050792252143,13.678836330165451,direct(w=auto),16.977050500005134
