scan_name,sideband_ratio,sideband_fraction_total,eom_offset_kHz,blue_detuning_MHz,cooling_total_intensity_mW_cm2,n_fock,n_ss,pe_ss,scattering_rate_kHz,total_scattering_rate_kHz,scattering_rate_hz,scatter_hz_per_asymptotic_quantum,p_top,p_tail_last2,delta_phi_pol_pi,solver_used,runtime_s
eom_offset_ratio_0p1,0.1,0.09090909090909091,16.0,40.0,4.0,6,0.16147245733844418,0.00010077684064344885,3.6408974955006537,3.6408974955006537,3640.897495500654,4342.0130052545965,0.0007968530749256934,0.0031450161712432358,13.678860346780304,direct(w=auto),36.261877799996
eom_offset_ratio_0p1,0.1,0.09090909090909091,18.0,40.0,4.0,6,0.16474205343566087,0.00011319606288363397,4.089583075060896,4.089583075060896,4089.583075060896,4896.191759542726,0.0008671568567203097,0.003414134501102954,13.678864349549446,direct(w=auto),35.09133339999971
eom_offset_ratio_0p1,0.1,0.09090909090909091,20.0,40.0,4.0,6,0.1736322085127818,0.00012987271019787567,4.692082250983587,4.692082250983587,4692.082250983587,5677.958772496716,0.0009696597300406943,0.0038115546453325933,13.67886835231859,direct(w=auto),35.82407619999867
eom_offset_ratio_0p1,0.1,0.09090909090909091,22.0,40.0,4.0,6,0.18558549497268564,0.00014930303620347706,5.394067199498186,5.394067199498186,5394.067199498186,6623.245492560666,0.0010934799393548154,0.004293037391379908,13.678872355087732,direct(w=auto),34.38282829999662
eom_offset_ratio_0p1,0.1,0.09090909090909091,24.0,40.0,4.0,6,0.19921702984086842,0.00017040551630159,6.156464258658884,6.156464258658884,6156.464258658884,7688.055925359491,0.0012316434436302583,0.004827904736633295,13.678876357856874,direct(w=auto),35.21476139999868
eom_offset_ratio_0p1,0.1,0.09090909090909091,26.0,40.0,4.0,6,0.21359904239061514,0.00019227806163203914,6.946682477501546,6.946682477501546,6946.682477501546,8833.512230985925,0.0013783668045135038,0.005387245569222357,13.678880360626016,direct(w=auto),33.24856240000372
eom_offset_ratio_0p1,0.1,0.09090909090909091,28.0,40.0,4.0,6,0.22801483698794375,0.00021415187989024364,7.736946685079781,7.736946685079781,7736.946685079781,10022.144279162721,0.0015281646920413637,0.005940845828747776,13.67888436339516,direct(w=auto),34.991729899993516
eom_offset_ratio_0p1,0.1,0.09090909090909091,30.0,40.0,4.0,6,0.24193021194041892,0.0002354044386463936,8.504765833350302,8.504765833350302,8504.765833350302,11218.97477951181,0.0016764906711860966,0.006465524818831987,13.678888366164301,direct(w=auto),35.44882740000321
eom_offset_ratio_0p6,0.6,0.37499999999999994,-20.0,40.0,4.0,6,0.19725965507483462,0.00021072731042046103,7.613222758768046,7.613222758768046,7613.222758768046,9484.041517158057,0.001129576284187745,0.004119153193618059,13.67878829693574,direct(w=auto),33.18841860000248
eom_offset_ratio_0p6,0.6,0.37499999999999994,-18.0,40.0,4.0,6,0.18810762711517953,0.00020243383890847786,7.313593603257816,7.313593603257816,7313.5936032578165,9008.082656659424,0.0010631973073445627,0.003887742950871023,13.678792299704883,direct(w=auto),34.5459400999971
