t_s,t_ms,n,n_smooth,n_fit_fixed_nss,pe
0.0012761506276150628,1.2761506276150627,0.17110951143349565,0.17200792242310112,0.12824788401961656,5.338849784442881e-05
0.001297071129707113,1.297071129707113,0.16859027363584422,0.1694433146699053,0.12548068511829466,5.2909555464811616e-05
0.0013179916317991632,1.3179916317991633,0.16616036729300293,0.16693565663229087,0.12282507912029828,5.245915345597382e-05
0.0013389121338912135,1.3389121338912136,0.163809383259291,0.1644870953394269,0.12027656581566173,5.198695897005401e-05
0.0013598326359832637,1.3598326359832638,0.16150767542230132,0.16209973916904435,0.11783082647450585,5.1482248539781325e-05
0.001380753138075314,1.380753138075314,0.15922813558444832,0.15977450925717535,0.11548371652848549,5.09542530956464e-05
0.0014016736401673642,1.4016736401673642,0.15696724933156544,0.15751159310029247,0.11323125854737282,5.040274925996912e-05
0.0014225941422594144,1.4225941422594144,0.15473290646292406,0.1553091498505122,0.11106963549887415,4.984342611173752e-05
0.0014435146443514645,1.4435146443514644,0.15253421928308789,0.15316249709530985,0.10899518428025812,4.931526113771936e-05
0.0014644351464435147,1.4644351464435148,0.15039081943172708,0.15106625872218382,0.10700438951083399,4.883867226319048e-05
0.001485355648535565,1.485355648535565,0.14832675293355235,0.14901625487222256,0.10509387757476138,4.840502763292611e-05
0.0015062761506276152,1.5062761506276152,0.14634758980869925,0.1470094099370818,0.1032604109040951,4.800843126197937e-05
0.0015271966527196654,1.5271966527196654,0.14444073644199484,0.14504421698679537,0.10150088249237812,4.764354693382014e-05
0.0015481171548117156,1.5481171548117156,0.1425925138987045,0.14312169138420078,0.09981231062948509,4.728236826970791e-05
0.0015690376569037659,1.5690376569037658,0.14078755634215473,0.1412443425634326,0.09819183384879378,4.689478770586597e-05
0.001589958158995816,1.5899581589958158,0.139004820957621,0.13941409384603295,0.09663670607812216,4.647753711275534e-05
0.0016108786610878661,1.610878661087866,0.13723193909985296,0.13763150401797178,0.09514429198621374,4.604000282815863e-05
0.0016317991631799164,1.6317991631799165,0.13547345909035272,0.1358956884970607,0.09371206251688534,4.559094767963443e-05
