t_s,t_ms,n,n_fit,pe
0.0005857740585774059,0.5857740585774059,0.37782735182843075,0.46640558958824463,6.277104419695126e-05
0.0006066945606694561,0.6066945606694562,0.37198684840338636,0.4558309817613007,6.149928623242573e-05
0.0006276150627615063,0.6276150627615062,0.36638646111973405,0.4455235727382104,6.026223686539865e-05
0.0006485355648535565,0.6485355648535565,0.36099254792436164,0.4354766109493693,5.907423875537008e-05
0.0006694560669456067,0.6694560669456068,0.35576914742758253,0.4256835154235871,5.7959385497297426e-05
0.000690376569037657,0.690376569037657,0.35074604770687745,0.4161378714774129,5.6903741741005884e-05
0.0007112970711297072,0.7112970711297072,0.3459277509118913,0.4068334265133825,5.591419167945018e-05
0.0007322175732217573,0.7322175732217574,0.34128549430146776,0.3977640859244359,5.504118763713577e-05
0.0007531380753138076,0.7531380753138076,0.3368474842282137,0.38892390910182123,5.4206365981216865e-05
0.0007740585774058578,0.7740585774058578,0.3325893245456785,0.38030710554387154,5.337123237651582e-05
0.000794979079497908,0.7949790794979079,0.3284429873993395,0.3719080310631041,5.258748478531211e-05
0.0008158995815899582,0.8158995815899582,0.3244075049083575,0.36372118408915916,5.179660266156361e-05
0.0008368200836820084,0.8368200836820084,0.32047229487943035,0.35574120206515536,5.0983188398486525e-05
0.0008577405857740587,0.8577405857740587,0.31660302294990855,0.347962857935103,5.0233520005119034e-05
0.0008786610878661089,0.8786610878661089,0.3128189197322707,0.3403810567200715,4.9545525224939815e-05
0.000899581589958159,0.8995815899581591,0.30915390261306147,0.3329908321808719,4.88854301000293e-05
0.0009205020920502093,0.9205020920502093,0.3055992283966587,0.3257873435650652,4.8283488234984355e-05
0.0009414225941422595,0.9414225941422595,0.3021425059542499,0.3187658724361683,4.773616832647012e-05
0.0009623430962343096,0.9623430962343096,0.2987843397218817,0.31192181958297815,4.718755032542761e-05
0.0009832635983263599,0.9832635983263599,0.29550573491159776,0.30525070200699267,4.6615354279586855e-05
0.0010041841004184101,1.0041841004184102,0.2922745322710893,0.2987481499859517,4.603865629320073e-05
0.0010251046025104603,1.0251046025104604,0.28908327778741416,0.29240990421157737,4.546185317682794e-05
0.0010460251046025106,1.0460251046025106,0.28594307100665145,0.2862318129996377,4.488407744927086e-05
0.0010669456066945608,1.0669456066945608,0.2828540438080827,0.280209829570506,4.434585608007676e-05
0.001087866108786611,1.087866108786611,0.27982472588930696,0.2743400093984351,4.3866263824620844e-05
0.001108786610878661,1.108786610878661,0.27687516090245334,0.26861850762781053,4.341420145556198e-05
0.0011297071129707113,1.1297071129707112,0.27399978647812706,0.26304157655468835,4.297871113567688e-05
0.0011506276150627616,1.1506276150627615,0.2711775033519856,0.2576055631719712,4.255761867966745e-05
0.0011715481171548118,1.1715481171548119,0.268399438827826,0.25230690677661133,4.211982271560522e-05
0.001192468619246862,1.192468619246862,0.26565435913948837,0.24714213663727527,4.165696884687474e-05
0.0012133891213389123,1.2133891213389123,0.2629284912045454,0.24210786972094228,4.1195610950907155e-05
0.0012343096234309625,1.2343096234309625,0.2602289676407721,0.23720080847694597,4.0747682119418385e-05
0.0012552301255230125,1.2552301255230125,0.25757274984386797,0.23241773867700974,4.031721229101283e-05
0.0012761506276150628,1.2761506276150627,0.25496616502821173,0.22775552730985948,3.992168839862257e-05
0.001297071129707113,1.297071129707113,0.25241248527794347,0.22321112052903536,3.9561782145533754e-05
0.0013179916317991632,1.3179916317991633,0.2499143170818668,0.21878154165255834,3.9211452834191966e-05
0.0013389121338912135,1.3389121338912136,0.24746044549975466,0.21446388921314058,3.885404188043717e-05
0.0013598326359832637,1.3598326359832638,0.2450321247811636,0.21025533505766372,3.8488197036123896e-05
0.001380753138075314,1.380753138075314,0.24262101576056372,0.2061531224946789,3.810844666324801e-05
0.0014016736401673642,1.4016736401673642,0.24022695934388025,0.202154564488716,3.771891941207058e-05
