blue_detuning_MHz,t_s,t_ms,P0,P1,P2
20.0,0.46307884856070086,463.07884856070086,0.17051176771497378,0.8294819083887173,6.323896316337183e-06
20.0,0.4655819774718398,465.5819774718398,0.16901981478732758,0.8309734545610449,6.730651634131789e-06
20.0,0.46808510638297873,468.0851063829787,0.16754309521147467,0.8324492432372532,7.661551278647845e-06
20.0,0.47058823529411764,470.5882352941176,0.1660814534493889,0.8339107659400363,7.780610581423744e-06
20.0,0.4730913642052566,473.0913642052566,0.1646347355515903,0.83535731357636,7.950872056267105e-06
20.0,0.4755944931163955,475.5944931163955,0.16320278913976366,0.8367916497356003,5.561124643873002e-06
20.0,0.4780976220275344,478.09762202753444,0.16178546339299138,0.8382089019709374,5.634636078481193e-06
20.0,0.4806007509386734,480.6007509386734,0.16038260902911328,0.8396099741339007,7.416836993377758e-06
20.0,0.4831038798498123,483.1038798498123,0.15899407828969087,0.8409981971427152,7.724567602879837e-06
20.0,0.4856070087609512,485.6070087609512,0.1576197249256811,0.842373307903812,6.9671705161928755e-06
20.0,0.4881101376720901,488.1101376720901,0.15625940418138842,0.8437345849101673,6.010908453838279e-06
20.0,0.49061326658322907,490.61326658322906,0.1549129727791431,0.8450812159144007,5.811306465918683e-06
20.0,0.493116395494368,493.11639549436796,0.1535802889040401,0.8464131234434276,6.587652541763403e-06
20.0,0.4956195244055069,495.61952440550687,0.15226121218902106,0.8477308758002841,7.91201070337861e-06
20.0,0.49812265331664585,498.1226533166458,0.15095560370005567,0.8490358514100196,8.544889933709712e-06
20.0,0.5006257822277848,500.6257822277848,0.14966332592153314,0.8503301215925437,6.55248593174894e-06
20.0,0.5031289111389237,503.1289111389237,0.1483842427432964,0.8516090521386716,6.705118039666784e-06
20.0,0.5056320400500626,505.6320400500626,0.1471182194435187,0.8528748794761183,6.901080371081952e-06
20.0,0.5081351689612015,508.1351689612015,0.145865122676422,0.8541274178574223,7.459466163978155e-06
20.0,0.5106382978723404,510.6382978723404,0.14462482045752587,0.8553675014088503,7.678133631970595e-06
20.0,0.5131414267834794,513.1414267834795,0.14339718215000274,0.8565957308880255,7.086961978964087e-06
20.0,0.5156445556946183,515.6445556946184,0.14218207845114464,0.8578113713764542,6.550172407900087e-06
20.0,0.5181476846057572,518.1476846057573,0.1409793813783923,0.8590140687129445,6.549908668756478e-06
20.0,0.5206508135168961,520.6508135168962,0.1397889642558439,0.8602039026788226,7.133065338230832e-06
20.0,0.523153942428035,523.1539424280351,0.13861070170088668,0.8613815123334505,7.785965666783432e-06
20.0,0.5256570713391739,525.657071339174,0.13744446961103912,0.8625478662177123,7.664171252463605e-06
20.0,0.5281602002503129,528.1602002503129,0.1362901451513964,0.8637017412842398,8.113564368597596e-06
20.0,0.5306633291614519,530.6633291614519,0.13514760674050952,0.8648454844613477,6.908798148186207e-06
20.0,0.5331664580725908,533.1664580725908,0.134016734039315,0.865976562596861,6.7033638286415755e-06
20.0,0.5356695869837297,535.6695869837297,0.13289740793689397,0.8670951877322792,7.404330830754901e-06
20.0,0.5381727158948686,538.1727158948686,0.13178951053833957,0.8682023105163762,8.17894528788431e-06
20.0,0.5406758448060075,540.6758448060075,0.13069292515239808,0.8692993277836619,7.747063943878372e-06
20.0,0.5431789737171464,543.1789737171464,0.12960753627972196,0.8703854390284481,7.024691834126707e-06
20.0,0.5456821026282854,545.6821026282854,0.12853322960023028,0.871459957508289,6.812891484946621e-06
20.0,0.5481852315394243,548.1852315394243,0.1274698919608484,0.8725233758724266,6.73216672797754e-06
20.0,0.5506883604505632,550.6883604505632,0.1264174113641359,0.873574709676108,7.87895975921099e-06
20.0,0.5531914893617021,553.1914893617021,0.12537567695574298,0.8746151353019768,9.18774228256235e-06
20.0,0.5556946182728411,555.694618272841,0.12434457901260261,0.8756486308221907,6.790165209059536e-06
20.0,0.55819774718398,558.1977471839799,0.12332400893384031,0.8766699695969354,6.021469226088596e-06
20.0,0.5607008760951189,560.7008760951189,0.12231385922622373,0.8776798705723604,6.2702014184467815e-06
20.0,0.5632040050062579,563.204005006258,0.12131402349415239,0.878678610489085,7.366016765490217e-06
20.0,0.5657071339173968,565.7071339173968,0.12032439642825266,0.8796669945332973,8.609038453580933e-06
20.0,0.5682102628285357,568.2102628285357,0.11934487379424218,0.8806465667189776,8.55948678331177e-06
20.0,0.5707133917396746,570.7133917396746,0.11837535242243476,0.8816172567353716,7.390842197065271e-06
20.0,0.5732165206508135,573.2165206508135,0.11741573019668254,0.8825783101338133,5.959669507423822e-06
20.0,0.5757196495619524,575.7196495619525,0.11646590604388743,0.8835269910589654,7.1028971505655896e-06
20.0,0.5782227784730913,578.2227784730914,0.11552577992176304,0.8844663322621854,7.887816054119583e-06
20.0,0.5807259073842304,580.7259073842304,0.11459525280995356,0.8853970765683051,7.67062174309861e-06
20.0,0.5832290362953693,583.2290362953693,0.11367422669938596,0.8863187349622469,7.038338367868773e-06
20.0,0.5857321652065082,585.7321652065082,0.11276260458172428,0.8872306741415578,6.721276717940969e-06
20.0,0.5882352941176471,588.2352941176471,0.11186029043903138,0.8881327039179351,7.005643033290548e-06
20.0,0.590738423028786,590.738423028786,0.1109671892336494,0.8890251070963677,7.703669982156612e-06
20.0,0.5932415519399249,593.2415519399249,0.11008320689820074,0.8899085876851192,8.205416680292433e-06
20.0,0.5957446808510638,595.7446808510638,0.10920825032570378,0.8907841526778825,7.596996414660359e-06
20.0,0.5982478097622028,598.2478097622028,0.10834222736016282,0.891651186131428,6.586508410306914e-06
20.0,0.6007509386733417,600.7509386733417,0.10748504678674613,0.8925080090034353,6.944209819104356e-06
20.0,0.6032540675844806,603.2540675844806,0.10663661832129377,0.8933561863399999,7.195338706302735e-06
20.0,0.6057571964956195,605.7571964956195,0.10579685260191704,0.8941951302508584,8.01714722407389e-06
